四川话原句,mbart_translation
比如很简单的道理你的父母跟你一路遇到过危险的时候当娃娃突然死脚摘下舍身带的时候也许那一瞬间妈老汉一碰就按过来了就抓你那水,"For example, there's a simple reason why when your parents are in danger all the way with you, when the doll is suddenly dead and pulls off her belt, maybe"
说嘞些你兄弟伙恁个多一个臭点儿就行了噻现在不好借钱喽,Just say a few more words about your brothers and sisters. It's not good to borrow now
正常挺好跟你说旁边那个兄弟伙哈我粉丝我也在打招呼反正那个也吃不完了我哈在乡上我都走了好我我走了我走了今天好点我知道了好拜拜好诶新年快乐哈新年快乐我走了好拜拜好,Normally it's okay to tell you about the brother next door My fans I'm also saying hello anyway that one isn't finished either I've been in the country
指名点姓的要见我哈我当时你晓得噻嘞个样子我吓到了噻哥老倌找我会有啥子事喃,Give me a name and see me Ha I know what you look like when I was so scared that the old tailor asked me what I had to do
我的所有粉丝朋友们感谢你们昨天对我的关心,All my fans thank you for your attention to me yesterday
又一个楼盘降价了都是我收了房子之前春节的时候单价一万二现在单价只要一万两房总价七十口三房八十几口四房一百一十几棵开发商那次我真的是下雪饼之前为什么我不要拍太贵了现在降价了我觉得值得了兄弟伙些我觉得这次我们要开发商弄痛而且还可以生分期以省分期,"There's another one. I bought my house before the Spring Festival and it was sold for 12, now for only 12, at a total price of 70, 3, 8, 10"
希望你金榜题名那个粉丝朋友他说川哥能助力我高考理想的重庆大学吗,A fan friend of yours said that Kawago could help me get to the ideal Chongqing University for college entrance
四姐跟他女婿买衣服了哎碰到我们的朋友粉丝朋友给我优惠了谢谢你支持嗯你还是给我买一件哦好要得好,"My fourth sister bought clothes with his son-in-law Oh, I met our friend Fan friend gave me a discount Thank you for your support Oh, you'll buy me one"
大家好我是老尹粉丝朋友要找一个离你近点儿的客户今天他来了这车是幺六年九月上户二零一六款一点六t自动双离合dct七速变速箱自动大天窗后排在出风口恒温分期空调整齐座椅四万公里路路,"Hello, I'm a fan of the old Yin. My friend wants to find a client near you. He's here today. This is a six-ton six-t"
朋友们二娃家的纸箱到了看嘛货车都来了,My friends Twova's paper boxes are here and the trucks are here
建威将军英明传朋友们大家说同仁怎么样,General Jiang Wei told his friends what about their colleagues
拿钱来购买好朋友们今天耗子哥趁热度的直播,Take the money to buy my good friends
一下接上来朋友们都担心老爸子在屋头没有人照顾,All the friends were worried that they had no one to look after them
这真正的蜂王浆朋友们让你们见识一下什么叫蜂王浆,This is the real honeybee buddy lets you see what's called honey bee
觉得我绝对是做不到任何人都做不到啊拿你朋友的口吻我跟你说哈你啊兄弟我这辈子都没见过你这种男人啊啊,"I feel like I can't do anything No one can do anything Take your friend's kiss I say to you Ha, you brother I've never seen a man like you"
从此以后试卷儿就开始封闭找遍整个中国只有我们那儿吃得到九十八四斤的耙耙虾金汤花园有个不会算账的大排档老板外面九十八一斤的耙耙虾在他那儿可以吃四斤还有椒盐香辣两个味道可以选对于喜欢吃粑粑虾的来说真的太满足了超独特的肥肠包大葱也一定要试哈吃起特别香还有来凤鱼鼻山图那些江湖菜味道也很不错凌晨四点大晚上的和兄弟伙些在坝坝头喝着雪花纯生吃着耙耙虾嘞个才叫安逸哦,"From then on, the trial rolls began to close all over China Only we can eat 984 kilograms of rake rake shrimp in the golden soup garden There's a"
那个酒店我们最后还有一天的厕所时间现在居然下雪了啊我们现在正在抓紧的复活中那一车是一个大足粉丝朋友早上很早就过来拉的拉了几车了啊然后货不多了没见到他好的朋友们可以点个关注啊视线评论论,That hotel we have one more day to go to the bathroom now it's snowing We're getting back into life faster The car is a big-foot fan friend came in
你看好冷超冷兄弟们而且里面有那种爆浆,You like the cool super cool brothers and there's a kind of bubble in it
拿给弄一下哎兄弟在哪都你不要兄弟游戏啊,Let's play a little brother wherever you don't want to play brother games
嘿兄弟问你个问题他们都说我长得很帅你觉得,Hey brother asked you a question They all said I look good You think
嘿兄弟问你个问题他们都说我长得很帅你觉得,Hey brother asks you a question They all say I look good You think
刚刚开张的时候啊你搞点活动哎亲戚朋友,"It's just opening, you have to do something, my friends"
来嘛说下儿你的意见嘛我嗯不太想耍朋友,What's your opinion? I don't really want to play with my friends
我还是单身我还没有耍朋友你有女朋友不,I'm still alone I haven't made friends You have a girlfriend?
现在小朋友都不喜欢喝白开水嘎我在你在意,Now kids don't like drinking fresh water I care about you
你又晓得嘛哎呀是朋友啊你的嘛又晓得妈呀,"What do you know? Oh, it's my friend!"
哎你哥们是不是还说了一句你兰博基尼啦开出来一起我们去耍噻,"Oh, did you say one more thing, my friend? You're Lambocchini! Let's go play with him"
先说下哈那个车是一个手动挡的带天窗带全景天窗的车车况的话非常的好喜欢开手动挡的大哥们赶紧来手动挡绝对是陪生男人的,That car is a hand-steered one with a panoramic window The condition of the car is very good. Likes to drive on hand steered brothers hurry up
那我也龙也可以那那我们那我们开吧只有打自闭了怎么感觉你们这个房间看起来像连跪的样子呢打不起精神似的人说话是又没吃饭似的来哥哥们儿说大声点声点大声点是吗,I'm also a dragon.I'm too.We're too.Let's go.Just shut up.How do you feel this room looks like a k
喊你赶场啊你找女同学耍快吃面先回去了,You're playing with your classmates. Come back before you eat
说爸爸儿儿做在做啥子哎嗯叔老哈那是那是我同学我们在,That's my classmate and I are together
朋友们大家好我是幺妹儿今天我们吃这个黄辣丁儿侄儿他们去钓回来的,"Good friends, I'm a little sister. Today we're eating this hot-and-sour-nephew. They came back to catch it"
现在女儿没得了啊后来我年纪好非常子女娃儿喜欢留长指甲,Now my daughter hasn't got it. Later on I was very old. My children like to keep long nails
好了吗不要说了我都三十五六岁的人了以我这种条件能找这样一个漂亮的女娃儿不容易啊尽管王慧苦口婆心的劝儿子,"All right don't tell me I'm thirty-five-six years old It's not easy for me to find such a beautiful girl under these conditions,"
重庆话接地气儿又巴适当外省人不一定听得懂重庆有个村儿的崽儿一看到幺妹儿觉得很喜欢她想跟她耍朋友终于有一天鼓起勇气写了一封巴巴适适的情书都寄了出去,"A young boy from Chongqing, a villager, found out that his sister liked him very much. She wanted to be friends with him and finally one day she had the"
做事是做事了我讲男娃儿在女娃儿面前我讲男娃在女娃的面前,Doing is doing I'm talking about a man before a womanI'm speaking about a guy before a girl
那你是外行你是外行幺妹儿手机呢是的,So are you out? Are you out of your sister's cell phone? Yes
团团你妈妈今天好高兴哟幺儿我们今天晚上吃啥子妈,What are we going to eat tonight
幺儿你实在想读书也要得再骗你为了老汉儿去纹个花币嘛,"If you really want to read, I'll have to deceive you again to tattoo a coin for the old man"
幺儿回吃饭喽你这个房子好巴适你站床上上就会喊幺儿儿吃饭饭,Come back and eat. This house is good. You'll go upstairs and call for dinner
但反过来讲你看你要会教育的刚刚妈妈你们咋把我生出来的哦幺儿是这样子的啊,"But on the contrary, you think you're going to be educated just now Mom, how did you get me born?"
你长得好帅哟是不是哦嘿我前女友一些都没说过我帅哥幺儿他们懂都不懂你长得恁个像吴彦祖,You're so handsome Oh hey my ex-girlfriends never said I was handsome They don't understand you look like Wu
那边老师明天喊你当着全班的娃儿都要都要,The teacher over there cried tomorrow that you were going to be in the whole class
吃嘛快吃弟娃儿吃快吃吃我该吃嘛快吃很甜,"Come on. Come on! Come on, come on! Let's go!"
我们衣服没逛到出来那两个娃儿非得套圈圈,We didn't get out of our clothes. The two girls don't have to go around
老子管你那些娃儿儿儿没没喂啊回去过好裹好,The old man hasn't fed you the little ones. Go back and wrap them
说的嘛娃儿嘞好好吃了嘛完嘞我他家你讲的好,You're good at talking about me and his family
再说了办法啊比如你们这边几个小伙子阴道想那边女娃子想得的简直已经一塌糊涂了,There are a couple of guys on your side who think they're going to get fucked up
过年爸爸嫌多屋头十天没开锅坐席千万莫和小娃儿坐一个个饿了饿下的看嘛筷子没来就用手抓筷子一来都过抢抢八辈子没吃过,Dad hasn't been in the house for ten days sitting on a stove and Mom and Daddy are all starving together. Look at chopsticks when they don'
楼上本是雕版画陈列时今年改做郭德展览会有郭德和他的朋友们的像他的画他的书的插图等等富士德的插图最多同一件是个人画起来呀趣为个别楼下是埃及古物的陈列室大大小小的木乃伊都有小娃儿也有,The top of the building was a carving exhibition and this year it's going to be a Guo-de exhibition where Guo and his friends will have pictures of him
我说嘛女娃儿有时候不一定长得非常乖,"I mean,women sometimes don't have to be very good"
我就说啊你想嘛一个女娃子家家的万多万的为他选,"And I said, ""What do you want?"""
他唱了半天结果经常说那个唱个青藏高原后来女娃子唱了下来要问我,"He's been singing for half a day, and he often says that he was singing in the Tibetan Plateau."
你回来他的八字儿你都喊我二爸呢你爱人是二奶你女娃子受我的胆你就是二奶,When you come back with his eight words You're crying for my two dads Your love is two milks Your daughter is fed by my angerYou are one milks
都在后头拍戏衣服穿起我刚开始啊你们年轻人和十几个女娃子青春就是美青春就是美,I'm just starting You young men and a dozen virgins are beautiful.
生娃子保管挨到呀呀婆婆爱呀爱你妈的鬼娃娃子得不得爱一辈子嘛嘛,Mother love love mother's doll has to love all her life
景苑儿景园嘞离开中校三校都在屋门口小娃儿读书是非常的方便便,It is very convenient for children to study at the entrance of three schools when they leave high school
这个是个儿童房哈小娃儿做作业看书这块儿的他都没设计好的都是中央空调色调颜色搭配得非常的温馨,"This is a children's room Ha Xiaova does her homework and reads books. He doesn't have any good design, but the central air conditioning colors are very warm"
他都是专业捆成二十八年的十八年你弄上弄了三十年了我信不信嘛几岁就开始弄我们那个时候上来的时候他就在开始弄材料那个豌豆像个小娃儿那你煮煮不到那到时候你煮煮不到到时候我们头中加十个猪脑壳你还慢慢煮嘛慢慢煮嘛,He's been professional for 28 years You've been doing it for thirty years I can't believe how many years he started to do it for us when he came up
大家好今天给你们介绍一套小区自带游泳的时候看嘛这里是大人小娃在那里面耍哈游泳哈,"Hello everyone, today I'm going to introduce you to a set of self-swimming units."
两口子吃人稀甚欢娃娃在这边站到还要遭你吸了样子,It's rare to have two mouths. The doll is standing here and you are getting sucked in
老板儿不仅生意好名气很大就是老板脾气有点怪从来不会喊客人来点菜菜,"The boss not only has a great reputation in business, but his temper is kind of weird that he never calls guests to order"
餐饮老板儿来当评委还给自己餐饮评那么高的分儿所以这是让我非常质疑的一点,It's a very questionable thing for me that the restaurant bosses give themselves such high marks as judges
嚯哟走进来老板儿家是他们打烟哦敬酒哦老板板儿看起陆十好几了逮到个两个一个一个锅的喊哦,"Come into the boss's house and they smoke Oh, they drink Oh, the boss looks up at the land ten or so catches one two one boiler cry Oh"
大家好我是云阳明月二车的涛老板儿接到一个粉丝的电话喊我们去收一台非常nice的一台车看我带上那两样东西西,"Hello, I'm the Tao boss of Yunyang May 2 car. He got a call from a fan saying, ""Let's pick up a very nice car and see if I"
再见我我不签老板儿送孩子这个车你又收了个啥子车今天我捡到一个机头这辆车被行情价少五千块钱牛逼少五千啥车哦哦,Goodbye I don't sign this car for the boss to send the kids What kind of car did you pick up again? Today I picked up a car head. This car was
失败了只买了一个礼单七十一号主要是你们很辛苦主要是厨师师傅哦不是嗯特别辛苦我们看起好舒服哟天呐怕是各人打吗好的认知房哈稳当啊好的好的正脂肪哈,"No. 71 is mainly you are very hard mainly the chef master Oh no oh not very hard we look good and comfortable Oh my God, are you afraid of each other? Good"
行者却笑道师傅你侵略做作等我交出起来,"The walker laughed, Master. You're aggressing as long as I give up"
师傅快傅快撒哈牛肉卷肉卷这个牛肉切的薄,The Master Jiang Fu Jiang Shaha beef rolls This beef is cut thin
躺一时有妖精拿住师傅你就说老孙是他大徒弟,"When you lie down and a fairy takes your master, you will say that his grandfather is a great disciple"
哦那你家条件还不错师师傅你们重庆的火锅加菜菜吗,"Oh, that's good for your home, Master. Do you have Chongqing in a hot pot"
那就是鱼皮啊被炸得来稍稍微重起那个火力要透入鱼皮里面俗话说的叫泥头子被老师傅就把它称为扎进皮,That's the skin that was blown up and healed a little bit The force of fire to penetrate into the skin is said to be the dirt which the old master called
才听老师父之言菩萨尚且救父神龙教他画马托尼我老汉却不能少有周忌明日将那男配取来愿送老师傅叩碑欠缺岂为笑纳,"Then I listened to my father's words, and the goddess that saved my father, the dragon, taught him how to paint a Madonna. But my old man"
生意下滑百分之五十了好多老板就去找厨师的问题了难道真的是厨师跟服务员的问题吗,The business went down by 50 percent Many bosses are looking for a cook Is it really a question of the cook and the waiter
哇那个婆娘长得好乖哟哇老板娘你太了解我了你不就是说的我吗看来我离老老板不远了,Wow That grandmother looks so good Wow Boss You know me too well Don't you just say I look like I'm not far from the old boss
初期的重庆吃货啊只晓得夏天家呀要吃小龙虾作为重庆的资深吃货我们晓得重庆的夏天我们必须去吃瓜瓜今儿呢带大家去体验一家专门卖瓜瓜的店哈据说老板娘也长得特别漂亮跟我一起打探一手走,Early Chongqing foods just know the summer home to eat shrimp as a senior chongqong foods we know that ChongQing's summer we
但是黄老师说他母亲不会同意也就是你阿姨我求你了我希望你成全,But Mr. Huang said his mother wouldn't agree. That's your aunt. I asked for you.
你给你领导说要举报我那么我在那个视频我也给杨光的领导说如果司机是一个主播的话哈,You tell your leader to report me So I was in that video and I told Yang's boss if the driver was an anchor
叔叔还在山下帮忙没有回来阿姨继续在草地里守着自家的牛叫我下次再来上班,Uncle still helped me down the mountain without coming back Uncle continued to keep his own cattle in the grass and told me to come back to work next time
哎呀都闹着嘛家里面就是真的那就哎呀真的是都不好意思了他真的走了一分钟都没开了走啊叔叔阿姨你们保保重身体好在家保重身体,"Oh, it's really in the house Oh, I'm really sorry he really left. He didn't leave for a minute. Uncle Auntie You gotta keep"
叔叔你们那个顶要拾得两百多个平方都你和嬢嬢两个人在那里住啊好奢侈哦那没办法我让他们在这儿住搬到公司那边,"Uncle, your roof is going to take up more than two hundred square feet. You and the girl are both living there. It's so luxurious. I can'"
为了让偏远山区的大妈大爷们吃上嫩滑多汁的豆腐脑今天我又拉了八十斤来到大山里,"In order for the grandmothers and grandfathers of the far-away mountain region to eat a soft, juicy tofu brain today I brought eighty kilograms"
现在这些罪犯还是太年轻你以为你不在朝阳都没得事了吗我给你说你记到啊你大爷已经不是从前那个大爷了你大妈永远是你大妈,"Now these criminals are still too young Do you think you didn't do well in the sunset? I tell you. Remember, your grandfather is no longer that grandfa"
哎老师你刚才说的啥子没没了了别的钱钱,What are you talking about? I'm out of money
就是不不让让老师我的吧来来那里这有封面,It's just don't let my teacher come and go. There's a cover
我也不会帮你恁妈也没有那老师小着喽哎哟,I'm not going to help your mom or that teacher
子怡先生老师数学原来还这般青年多更加可敬,His mathematics teacher was more respectable than this young man
夏老板哦我搞忘了问你那个女工发了没得,"Boss Summer Oh, I forgot to ask you about the woman's hair"
嗯对啊你是老板啦哦亲姐亲姐呃吃的啥子啊,Yeah You're the boss Oh my sister-in-law Uh what do you eat
这个好说阿萨斯嘛卤面鸭血你看打这个老板,It's nice to say that Asas is a bloody duck.
老板这儿三桌忙出了三四桌的这个是你带的呀,The boss is busy with three or four tables. This is what you brought
呃下面话话可能有点多就是他们嘞群狗日的龟儿子最喜欢通过贬低戏弄折磨同性的方式来他妈吸引异性的目光,"Well, there's probably a little more to it than that. Their dog-headed turtle son likes to attract the stranger's gaze by degrading and"
还有这个才打啊天哪超大哈可以过来快接到你这只龟儿子好吃哦,"There's this one too Oh, my God! Oh, come here and get your turtle son."
哎呀我晓得我又不是瓜的哎呀我晓得你其实暗示我你喜欢我我心头明白其实人非圣贤哎呀我又不是瓜娃子哎呀我心头还是有数其实我也是有感情的我还是觉得你这个女娃子好手就要挨拢了,"Oh, I know I'm not a cucumber Oh! I know you're actually suggesting that you like me Oh, my heart understands that people are not saint"
等他来今天让我收拾这个狗日的你们就当我没有回来哎,Wait for him to pick up this dog day and you will when I don't come back
狗日的你们晓得现在那些老师的主业是啥子不打杂打卡应付检查,Do you know what the teacher's main occupation is now?
这帮龟儿子又是些造反成性的太不好搞了我们是郊外倒是有两座山可那都是收门票的风景区,This group of turtle sons is also a bit counter-productive too bad we are out in the countryside there are two mountains but they're all scenic areas for
狗日的法神子让老子来你骂你骂你骂停,God of dogs let the old man come and curse you.
真的很心痛那个贼娃子了刚出新手村就遭遇了三个大魔王你跑也跑不赢是打也打不赢唉这个应该是这个小偷职业生涯当中最黑暗的一天吧这是做了啥子孽了难受想哭,"It's really painful. The thief has just been out of the new village and encountered three big wizards. You can't run or win, you can'"
再见拜拜哈谢谢大家支持莫拍了龟儿来接了,Goodbye goodbye thank you for supporting me
好吓你一长串骂自己老公都这样骂的你龟儿使人带霉,You're scared of a long line of calls from your husband. Your turtle makes people miserable
老子就鬼冒火一天偷来偷老子鸡蛋再带带它老子砍死他个龟儿,One day the old man made a fire and stole his eggs and took them with him. The old man killed his turtle
那小孩儿吧都想挨他玩然后他不想挨他玩你看他龟儿气他龟儿气大,The kid wanted to play with him and then he didn't want to play. Look at his turtle! His turtle is big
鬼血龟儿看那个脸墙就像那种龟儿饿血吃多了那种一样的一天还能吃双血痛来试下,The bloody turtle looks at the wall like a turtle who's eaten more blood than any other one of those days and can be tested with double-blooded
把你让开你在那耍傻子你耍这点意思哇你在那,You've got to get yourself out of there and play fools. That's what you do.
其他的都莫去想当一个快乐的傻妈妈就好了我终于明白别人为什么说一孕傻三年了因为睡不好瞌睡一整天就是傻子,I finally understand why people say that it's been three years since you were born to be a fool because you don't sleep well and you do not sleep all day long
疯子管你管你的好有好多通风在再有一下那个,You're gonna take care of yourself. There's a lot of air in there.
你看嘛还是我家孙儿说的对你一天不是样子就是疯子的哎呀,What do you think my grandfather said to you that wasn't the way it was one day
你看他不是疯子是装疯的你看这就是结果我跟你说了以他接受的治疗是没得能力逃跑的,"You see he's not crazy. He's pretending to be crazy. You see, this is the result of what I told you"
喂不好意思我刚才我那个电话有电把我耳朵唉我也不晓得我在说啥子你你说他怎么是个疯子吗你快问他你们昨天在干啥子快点儿问,"Hey I'm sorry I just got that phone on my ears Oh, I don't know what I am talking about You said he was crazy You asked him what you were doing"
啥变手不分茶神经病兄弟你也是吃点白喝的哦火的哦,What's the difference between tea and nerve bro You too have some white to drink
你说你愿意为我去死得嘛那你把扇子一丢哎你像有神经病嗦,"You said you wanted to die for me So you threw away the fan Oh, you're so nervous"
神经病就拽死经比你拽世东去比你好高天比你你还是个大学生,Neurological disease drags you to the east more good than you You're still a college student
王阳明将自良之满街都是圣人一边而为东林党无党尽是好人为有力抗满清的熊廷弼是坏人是应当拿来杀你,"Wang Yang Ming said that all the streets were filled with saints, and that there was no party for the East Lin Party. He was a good man. The powerful anti-"
你不知不知不是不知道我们家那个情况晓得吧那个车啊三年时间这次还跑了一万公里开都没时间开三阳你晓得那个带娃儿又要要钱哪有时间开嘛哎多多少少少现在你想买起那个空心菜七角钱一斤买的做三角钱一斤你脑壳有包啊你七角买的你做三角钱一斤嘛跟那个旁边那个龟儿子打价格战的嘛他们卖五角我卖三角噻我气我咽不下那口气的嘛,You don't know what happened in our house You know that car Three years ago This time I ran ten thousand kilometers and didn't have time to go to Sanyang You know
晓得是啥子东西到真爱啊那个怪奇怪怪像个傻子一样,Knowing what's in love That strange thing is like a fool
老子神经病我是金色的哦两个一口头真的是,"I'm golden Oh, two heads really"
哪怕他的退休工资低他不愿意再在儿女身上拿钱所以这些坏人这些骗子的趁机机会,"Even though his pension is low, he doesn't want to take any more money from his children."
啊摔不死你这个狗东西,"Oh, don't fall on your dog thing"
大傻子啥傻子嗯我不是羊嘞刀刀,I'm not a sheep
那你妹子的你还想来没我你你要动手啪你日妈差点把老子抽这样的妈哎哟我打你龟儿秀龙潭,"That's your sister You still wanna be with me You want to clap your hands Your mom almost pulls out the old man like that Mom Oh, I hit your turtle"
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
,Nan
