sample_id,target_category,target_terms,input_file,source_file,utt_or_id,filename,text,matched_terms_original,text_length,analysis_note,model_1_output,model_2_output,model_3_output,translation_issue
SCPR_036,solidarity,咱们 我们 朋友,train_9800,wsc_train_audio_text.tsv.gz,013165531996_vku60_62_5560,013165531996_vku60_62_5560.wav,过年的氛围啊感谢朋友们咱们下期视频再见这里是我们涪陵区,我们 咱们 朋友,27,,,,,
SCPR_037,solidarity,大家 我们 朋友,train_9800,wsc_train_audio_text.tsv.gz,01316549074_0SW4N_0_8480,01316549074_0SW4N_0_8480.wav,朋友们大家好我是幺妹儿今天我们吃这个黄辣丁儿侄儿他们去钓回来的,幺妹儿 大家 他们 朋友 这个 我们 侄儿 我,31,,,,,
SCPR_038,solidarity,大家 朋友 粉丝,train_9800,wsc_train_audio_text.tsv.gz,013165497185_7w9B1_0_7200,013165497185_7w9B1_0_7200.wav,大家好我是勇哥我有个粉丝朋友他种了一片那个沃根儿已经吃掉了现在,大家 朋友 粉丝 那个 哥 我 他,31,,,,,
SCPR_039,solidarity,大家 我们 朋友,train_9800,wsc_train_audio_text.tsv.gz,016000137961_gNLEu_0_6200,016000137961_gNLEu_0_6200.wav,大家好我是二手车川人王涛今天我们开始营业了感谢一直支持我们的朋友们,大家 我们 朋友 我,33,,,,,
SCPR_040,solidarity,大家 我们 朋友,test_200,wsc_train_audio_text.tsv.gz,013165473431_UBjKc_0_7860,013165473431_UBjKc_0_7860.wav,大家好我是小巴之前我们在汉源给黄爸黄妈拍了那个全家福嘛很多朋友在评论区说,大家 朋友 那个 我们 我 爸 妈,36,,,,,
SCPR_041,solidarity,我们 朋友 粉丝,train_9800,wsc_train_audio_text.tsv.gz,013165439320_uonrS_7_11820,013165439320_uonrS_7_11820.wav,四姐跟他女婿买衣服了哎碰到我们的朋友粉丝朋友给我优惠了谢谢你支持嗯你还是给我买一件哦好要得好,朋友 粉丝 我们 女婿 姐 你 我 他,46,,,,,
SCPR_042,solidarity,同学 我们,train_9800,wsc_train_audio_text.tsv.gz,013165484355_FYr8q_7_5580,013165484355_FYr8q_7_5580.wav,我们现在到了老同学还帮我们布置了一下,同学 我们,18,,,,,
SCPR_043,solidarity,咱们 朋友,train_9800,wsc_train_audio_text.tsv.gz,013165522653_pCzwV_18_6240,013165522653_pCzwV_18_6240.wav,咱们一会让小朋友走路来好什么觉得咋样嗯,咱们 朋友,19,,,,,
SCPR_044,solidarity,朋友 粉丝,train_9800,wsc_train_audio_text.tsv.gz,013165531615_2m9pT_3_5740,013165531615_2m9pT_3_5740.wav,选手对家喵喵上下两家粉丝朋友三张条出去,粉丝 朋友,19,,,,,
SCPR_045,solidarity,同学 朋友,train_9800,wsc_train_audio_text.tsv.gz,009590042018_PSHyn_11_6340,009590042018_PSHyn_11_6340.wav,没有熟悉的朋友和同学我一直认为我是孤寂的,同学 朋友 我,20,,,,,
SCPR_046,solidarity,朋友 粉丝,train_9800,wsc_train_audio_text.tsv.gz,016000158273_HrBkf_1_5980,016000158273_HrBkf_1_5980.wav,我的所有粉丝朋友们感谢你们昨天对我的关心,粉丝 你们 朋友 我,20,,,,,
SCPR_047,solidarity,我们 朋友,train_9800,wsc_train_audio_text.tsv.gz,013165448185_HdgbE_43_5840,013165448185_HdgbE_43_5840.wav,我们这一帮子朋友喃都是入室中的肉一块都没剩,我们 朋友,21,,,,,
SCPR_048,solidarity,咱们 大家,train_9800,wsc_train_audio_text.tsv.gz,013165479675_Kudhz_36_5900,013165479675_Kudhz_36_5900.wav,第八点咱们担担面加了芝麻酱要用油屑大家都知道,大家 咱们,22,,,,,
SCPR_049,solidarity,朋友 粉丝,train_9800,wsc_train_audio_text.tsv.gz,013165444172_UfJb7_3_6400,013165444172_UfJb7_3_6400.wav,七八满选手都是三位粉丝朋友明天重庆三店正式开业,粉丝 朋友,23,,,,,
SCPR_050,solidarity,我们 朋友,train_9800,wsc_train_audio_text.tsv.gz,01316550690_bOcfi_82_6920,01316550690_bOcfi_82_6920.wav,嗯我们现在都用纸浆清口了也可以朋友亲口朋友亲口,我们 朋友,23,,,,,
SCPR_051,solidarity,我们 朋友,train_9800,wsc_train_audio_text.tsv.gz,013165452880_MYsx7_27_5820,013165452880_MYsx7_27_5820.wav,朋友们希望我们市民给我们点个关注点个赞哈谢谢你们,我们 你们 朋友,24,,,,,
SCPR_052,solidarity,我们 朋友,train_9800,wsc_train_audio_text.tsv.gz,013165486001_wP7L8_10_5760,013165486001_wP7L8_10_5760.wav,到街上了朋友们关键先带我们去看米他们这边的米又皮,我们 他们 朋友,24,,,,,
SCPR_053,solidarity,同学 我们,train_9800,wsc_train_audio_text.tsv.gz,013165438000_crGRp_39_7280,013165438000_crGRp_39_7280.wav,说爸爸儿儿做在做啥子哎嗯叔老哈那是那是我同学我们在,我们 爸爸 同学 叔 我,25,,,,,
SCPR_054,solidarity,弟兄 我们,train_9800,wsc_train_audio_text.tsv.gz,013165496219_rRofp_69_7540,013165496219_rRofp_69_7540.wav,对吧我摆的都是老式我们在我在青城山陪刘振兴他们两弟兄,两弟兄 他们 我们 我,26,,,,,
SCPR_055,solidarity,同学 我们,test_200,wsc_train_audio_text.tsv.gz,013165507538_plMtZ_43_8460,013165507538_plMtZ_43_8460.wav,就如同学诗不要死于巨小我们川菜有个老前辈叫侯汉初先生,同学 我们,26,,,,,
SCPR_056,solidarity,朋友 粉丝,train_9800,wsc_train_audio_text.tsv.gz,01316549131_tl9Ei_37_6180,01316549131_tl9Ei_37_6180.wav,我的粉丝朋友准备了一份成都选房参考包括了楼层怎么选怎么,粉丝 朋友 我,27,,,,,
SCPR_057,solidarity,朋友 粉丝,train_9800,wsc_train_audio_text.tsv.gz,013165523196_wl2KM_6_7060,013165523196_wl2KM_6_7060.wav,艺人四幺九麻将换三张四番起伏齐翻满选手都是三位粉丝朋友,粉丝 朋友,27,,,,,
SCPR_058,solidarity,兄弟 我们,train_9800,wsc_train_audio_text.tsv.gz,016000299201_HD2Rn_9_8000,016000299201_HD2Rn_9_8000.wav,别搞错了啊看一下外观以及我们的内饰兄弟中规中矩的一个车啊,兄弟 我们,28,,,,,
SCPR_059,solidarity,哥们 我们,train_9800,wsc_train_audio_text.tsv.gz,sc0030588_815420_821370,sc0030588_815420_821370.wav,哎你哥们是不是还说了一句你兰博基尼啦开出来一起我们去耍噻,我们 你 哥,28,,,,,
SCPR_060,solidarity,同学 我们,train_9800,wsc_train_audio_text.tsv.gz,013165492260_5SLRh_15_9140,013165492260_5SLRh_15_9140.wav,我们班肯定会配合秋裤协会的工作的那我难为你了来访同学回去注意态度,同学 我们 你 我,32,,,,,
SCPR_061,affectionate,幺妹儿 妹儿 幺妹,train_9800,wsc_train_audio_text.tsv.gz,01600026922_3AR41_0_12260,01600026922_3AR41_0_12260.wav,重庆话接地气儿又巴适当外省人不一定听得懂重庆有个村儿的崽儿一看到幺妹儿觉得很喜欢她想跟她耍朋友终于有一天鼓起勇气写了一封巴巴适适的情书都寄了出去,幺妹儿 朋友 她,72,,,,,
SCPR_062,affectionate,女娃儿 男娃儿 女娃 娃儿 男娃,train_9800,wsc_train_audio_text.tsv.gz,cq00005741_178570_185490,cq00005741_178570_185490.wav,做事是做事了我讲男娃儿在女娃儿面前我讲男娃在女娃的面前,女娃儿 男娃儿 男娃 女娃 我,27,,,,,
SCPR_063,affectionate,小姐姐 妹儿 小妹 小姐,train_9800,wsc_train_audio_text.tsv.gz,01600023868_QDjRb_6_7600,01600023868_QDjRb_6_7600.wav,一九七二年有一个姓曹的二十岁的小妹儿现在都流行叫小姐姐了,小姐姐 小妹,28,,,,,
SCPR_064,affectionate,女娃子 小伙子 女娃 娃子 小伙,train_9800,wsc_train_audio_text.tsv.gz,01316546412_1VFBk_66_7120,01316546412_1VFBk_66_7120.wav,再说了办法啊比如你们这边几个小伙子阴道想那边女娃子想得的简直已经一塌糊涂了,小伙子 女娃子 你们,37,,,,,
SCPR_065,affectionate,帅哥 幺儿,train_9800,wsc_train_audio_text.tsv.gz,013165467571_dM3DF_12_11120,013165467571_dM3DF_12_11120.wav,你长得好帅哟是不是哦嘿我前女友一些都没说过我帅哥幺儿他们懂都不懂你长得恁个像吴彦祖,他们 帅哥 幺儿 你 我,41,,,,,
SCPR_066,affectionate,小伙子 小伙 美女,train_9800,wsc_train_audio_text.tsv.gz,016000161210_AvOdD_4_6080,016000161210_AvOdD_4_6080.wav,小伙子能不能把刚才那一块钱还给我呀美女,小伙子 美女 我,19,,,,,
SCPR_067,affectionate,女娃子 女娃 娃子,train_9800,wsc_train_audio_text.tsv.gz,01316549054_AUyRl_33_6140,01316549054_AUyRl_33_6140.wav,我就说啊你想嘛一个女娃子家家的万多万的为他选,女娃子 家家 你 我 他,22,,,,,
SCPR_068,affectionate,女娃子 女娃 娃子,train_9800,wsc_train_audio_text.tsv.gz,sc0000438_1141680_1146400,sc0000438_1141680_1146400.wav,还有跟出去看那个女娃子双毛根九窝就就跟着子高头走走,女娃子 那个,25,,,,,
SCPR_069,affectionate,女娃儿 女娃 娃儿,train_9800,wsc_train_audio_text.tsv.gz,013165515144_tWBjQ_157_7060,013165515144_tWBjQ_157_7060.wav,现在女儿没得了啊后来我年纪好非常子女娃儿喜欢留长指甲,女娃儿 女儿 我,26,,,,,
SCPR_070,affectionate,小姐姐 小姐 美女,train_9800,wsc_train_audio_text.tsv.gz,01600025028_wFW29_0_6680,01600025028_wFW29_0_6680.wav,来朋友们今天又拿下一颗美女小姐姐一手车啊这个不是吹牛的,小姐姐 这个 美女 朋友,27,,,,,
SCPR_071,affectionate,小娃儿 娃儿 小娃,train_9800,wsc_train_audio_text.tsv.gz,cq0081078_78060_84200,cq0081078_78060_84200.wav,景苑儿景园嘞离开中校三校都在屋门口小娃儿读书是非常的方便便,小娃儿,29,,,,,
SCPR_072,affectionate,女娃子 女娃 娃子,train_9800,wsc_train_audio_text.tsv.gz,013165473108_SbhZj_154_7000,013165473108_SbhZj_154_7000.wav,他唱了半天结果经常说那个唱个青藏高原后来女娃子唱了下来要问我,女娃子 那个 我 他,30,,,,,
SCPR_073,affectionate,女娃娃 女娃 娃娃,train_9800,wsc_train_audio_text.tsv.gz,016000289760_uvKtG_6_7520,016000289760_uvKtG_6_7520.wav,看到女娃娃只要是活的稍微有分姿色歘歘就就把朋友的衣服给别个剪完,女娃娃 别个 朋友,31,,,,,
SCPR_074,affectionate,女娃子 女娃 娃子,train_9800,wsc_train_audio_text.tsv.gz,01316547864_9r21j_132_8020,01316547864_9r21j_132_8020.wav,你回来他的八字儿你都喊我二爸呢你爱人是二奶你女娃子受我的胆你就是二奶,女娃子 爱人 二爸 你 我 他,34,,,,,
SCPR_075,affectionate,男娃儿 娃儿 男娃,train_9800,wsc_train_audio_text.tsv.gz,cq00031463_78570_88790,cq00031463_78570_88790.wav,男人活得不如一条狗哎那个男娃儿站在那里没有哪个给他打点招呼诶金刚走开溜了溜了溜了,男娃儿 哪个 那个 男人 他,40,,,,,
SCPR_076,affectionate,小娃娃 娃娃 小娃,train_9800,wsc_train_audio_text.tsv.gz,cq0040420_297990_310850,cq0040420_297990_310850.wav,小娃娃一个一个拜年发压岁钱钱不多两块五块诶那个时候的两块五块拿到一起那是很兴奋的,小娃娃 那个,40,,,,,
SCPR_077,affectionate,小娃儿 娃儿 小娃,train_9800,wsc_train_audio_text.tsv.gz,cq0083998_147050_157480,cq0083998_147050_157480.wav,这个是个儿童房哈小娃儿做作业看书这块儿的他都没设计好的都是中央空调色调颜色搭配得非常的温馨,小娃儿 这个 他,45,,,,,
SCPR_078,affectionate,女娃儿 女娃 娃儿,train_9800,wsc_train_audio_text.tsv.gz,cq00030164_130330_141490,cq00030164_130330_141490.wav,好了吗不要说了我都三十五六岁的人了以我这种条件能找这样一个漂亮的女娃儿不容易啊尽管王慧苦口婆心的劝儿子,女娃儿 儿子 我,51,,,,,
SCPR_079,affectionate,小娃儿 娃儿 小娃,train_9800,wsc_train_audio_text.tsv.gz,016000150301_NSKOj_0_10740,016000150301_NSKOj_0_10740.wav,过年爸爸嫌多屋头十天没开锅坐席千万莫和小娃儿坐一个个饿了饿下的看嘛筷子没来就用手抓筷子一来都过抢抢八辈子没吃过,小娃儿 爸爸,55,,,,,
SCPR_080,affectionate,小娃儿 娃儿 小娃,train_9800,wsc_train_audio_text.tsv.gz,sc0008152_624590_648740,sc0008152_624590_648740.wav,楼上本是雕版画陈列时今年改做郭德展览会有郭德和他的朋友们的像他的画他的书的插图等等富士德的插图最多同一件是个人画起来呀趣为个别楼下是埃及古物的陈列室大大小小的木乃伊都有小娃儿也有,小娃儿 朋友 小的 个人 他,89,,,,,
SCPR_081,affectionate,幺妹儿 妹儿 幺妹,train_9800,wsc_train_audio_text.tsv.gz,013165447320_tDJO1_51_5680,013165447320_tDJO1_51_5680.wav,那你是外行你是外行幺妹儿手机呢是的,幺妹儿 你,17,,,,,
SCPR_082,affectionate,幺儿,train_9800,wsc_train_audio_text.tsv.gz,013165439331_Hpr86_11_7300,013165439331_Hpr86_11_7300.wav,团团你妈妈今天好高兴哟幺儿我们今天晚上吃啥子妈,幺儿 我们 妈妈 你 妈,23,,,,,
SCPR_083,affectionate,幺儿,train_9800,wsc_train_audio_text.tsv.gz,013165443329_p9su8_15_8600,013165443329_p9su8_15_8600.wav,幺儿你实在想读书也要得再骗你为了老汉儿去纹个花币嘛,老汉儿 幺儿 你,25,,,,,
SCPR_084,affectionate,幺儿,train_9800,wsc_train_audio_text.tsv.gz,016000259066_tjRFA_0_6880,016000259066_tjRFA_0_6880.wav,幺儿回吃饭喽你这个房子好巴适你站床上上就会喊幺儿儿吃饭饭,这个 幺儿 你,28,,,,,
SCPR_085,affectionate,幺儿,train_9800,wsc_train_audio_text.tsv.gz,013165447334_Hq47T_152_9580,013165447334_Hq47T_152_9580.wav,但反过来讲你看你要会教育的刚刚妈妈你们咋把我生出来的哦幺儿是这样子的啊,幺儿 你们 妈妈 你 我,35,,,,,
SCPR_086,affectionate,幺儿,train_9800,wsc_train_audio_text.tsv.gz,cq0065659_4560_15430,cq0065659_4560_15430.wav,不想出去吃没得事的幺儿我打个电话点个大舅家烤肉外卖就可以了哎呀谢谢嘛哎呀谢谢妈妈妈妈太好啦,妈妈 幺儿 我,45,,,,,
SCPR_087,affectionate,小伙子 小伙,train_9800,wsc_train_audio_text.tsv.gz,sc0040530_558740_563610,sc0040530_558740_563610.wav,哦小伙子啦很有心啊当然你也很有钱呐呐,小伙子 你,18,,,,,
SCPR_088,affectionate,小伙子 小伙,train_9800,wsc_train_audio_text.tsv.gz,01316544538_CGH6L_17_6020,01316544538_CGH6L_17_6020.wav,总监你走的哎呀慌的嘛小伙子也是反正这嘞,小伙子 你,19,,,,,
SCPR_089,affectionate,弟娃儿 娃儿,train_9800,wsc_train_audio_text.tsv.gz,013165500787_y9LTj_52_6740,013165500787_y9LTj_52_6740.wav,吃嘛快吃弟娃儿吃快吃吃我该吃嘛快吃很甜,弟娃儿 我,19,,,,,
SCPR_090,affectionate,小哥哥 小哥,train_9800,wsc_train_audio_text.tsv.gz,01316548015_xn2F3_3_14500,01316548015_xn2F3_3_14500.wav,啊我终于回去就来了谢谢你啊小哥哥哈哈哈哈,小哥哥 你 我,20,,,,,
SCPR_091,hierarchy,服务员 厨师 老板,train_9800,wsc_train_audio_text.tsv.gz,016000241684_sGLxa_3_7780,016000241684_sGLxa_3_7780.wav,生意下滑百分之五十了好多老板就去找厨师的问题了难道真的是厨师跟服务员的问题吗,服务员 老板 厨师,38,,,,,
SCPR_092,hierarchy,师傅 师父 老师,train_9800,wsc_train_audio_text.tsv.gz,sc0030325_1585580_1599870,sc0030325_1585580_1599870.wav,才听老师父之言菩萨尚且救父神龙教他画马托尼我老汉却不能少有周忌明日将那男配取来愿送老师傅叩碑欠缺岂为笑纳,老师 老汉 我 他,52,,,,,
SCPR_093,hierarchy,厨师 师傅,train_9800,wsc_train_audio_text.tsv.gz,013165438003_UGEYm_11_5660,013165438003_UGEYm_11_5660.wav,记得刚学厨师那个时候师傅怕浪费材料就叫我们上班看下班练,那个 厨师 我们 师傅,27,,,,,
SCPR_094,hierarchy,老板娘 老板,train_9800,wsc_train_audio_text.tsv.gz,013165516326_5Z62j_16_5640,013165516326_5Z62j_16_5640.wav,连老板娘都晓得这是四川省省省除了四川别的地方没人人专基本上,老板娘,29,,,,,
SCPR_095,hierarchy,老板 顾客,train_9800,wsc_train_audio_text.tsv.gz,013165510261_7vokF_6_7200,013165510261_7vokF_6_7200.wav,让以后我们镇上的顾客只认准我恒老板就不找超老板了加油加油加油,老板 顾客 我们 我,30,,,,,
