ID,四川话原句,en_gold_human,称谓,命中称谓,称谓类型,称谓类型中文,nllb_bs
ADDR_011,第二天上妆更服帖耶你个婆娘还懂得享受啊啊,girl/ bitch,婆娘,婆娘,kinship,亲属称谓,"The next day, your daughter-in-law still enjoys it."
ADDR_012,嗯嗯多少整哎呀哎做起简单好生学哦说了我找婆娘要得,wife,婆娘,婆娘,kinship,亲属称谓,"How much did you do to make a simple, well-educated life tell me to find my daughter-in-law."
ADDR_013,再批话惨你两耳屎来堂客吃饭还是热和的搞快点吃等下冷噶了了了,home,堂客,堂客,kinship,亲属称谓,It's getting cold out of your ears when you come to the dining room for a hot meal or a quick snack.
ADDR_014,哪里的酒美心哦我中午没得没吃酒是哪个老杂皮在和你堂客在吃我劝都劝不住,wife,堂客,堂客,kinship,亲属称谓,"I can't help but drink at noon, which old cockroach is trying to convince me to eat with your roommates."
ADDR_015,这个跟工大建那个堂客赖上了各人心头都有点着急生怕百姓误会了正在那个时候从屋头就出来一个老者把堂客都往屋头推都说吹点儿进屋去不要在那里丢人了然后就给跟公达说了个牙呀请进一步说话,married woman,堂客,堂客,kinship,亲属称谓,Everyone's minds were a bit agitated for fear that people would misunderstand that they were leaving the roof at that time.An old man threw all the servants to the roof and told them not to get lost there.
ADDR_016,葫芦娃葫芦娃一个挂上七个藤啦啦啦哎老婆你咋求妈妈回去住两天屋头去住两天,wife,老婆,老婆 妈妈 妈,kinship,亲属称谓,"Let's hang on to seven figs, let's hang on to seven figs, let's hang on to seven figs, let's hang on to seven figs, let's hang on to seven figs, let's hang on to seven figs, let's hang on to seven figs, let's hang on to seven figs, let's hang on to seven figs, let's hang on to seven figs, let's hang on to two days, let's hang on to two days, let's hang on to two days."
ADDR_017,可以照顾妈妈我跟婆婆两个人就来砍油菜,mother-in-law,婆婆,婆婆 妈妈 妈,kinship,亲属称谓,"If you could take care of me and my grandmother, two of us would come and cut the vegetables."
ADDR_018,我婆婆妈也在楼上帮忙有点安慰安快阿姨,mother-in-law,婆婆,婆婆 阿姨 妈,kinship,亲属称谓,My grandmother was also upstairs to help with a little comfort.
ADDR_019,李婆婆哦嘿人家觉得娃娃对咋子咹回来看爸嘛哎呀想到我妈他们那样的,granny,婆婆,婆婆 爸 妈,kinship,亲属称谓,"The Libu family felt that the dolls would come back to their children to see their father, thinking of me as they did."
ADDR_020,一手将鱼是是是我晓得你老大姐的爸爸没得落户,dad,爸爸,爸爸 大姐 爸,kinship,亲属称谓,Taking a fish with one hand means I know your grandmother's dad didn't make it.
ADDR_021,爸爸好爸爸哎来了要来要来了小米阿姨你好呀好乖哦,dad,爸爸,爸爸 阿姨 爸,kinship,亲属称谓,"Dad, Dad, Dad, Dad came to come to come to my mom."
ADDR_022,不是我爸爸拿回来我爸爸拿回的嗯不是是我阿姨让父亲怎么说,dad,爸爸,爸爸 阿姨 爸,kinship,亲属称谓,"It wasn't my dad who brought my dad back, it was my aunt who told my dad what to say."
ADDR_023,那张丽的爸爸妈妈呢都是成都市的政府干部好来源于政府家庭她从小呢这个家教也非常严好她以前喃呢,dad,爸爸,爸爸 妈妈 爸 妈,kinship,亲属称谓,That gorgeous dad was an urban government cadet and came from a government family.
ADDR_024,Um妈妈妈妈啊啦啦啦妈妈谢谢OhUm嗯Um嗯好的不是Um爸爸嗯不是快点AUm来好Yeah嗯加油嗯拜拜嗯Um好OhUm,dad,爸爸,爸爸 妈妈 爸 妈,kinship,亲属称谓,"Umm, umm, umm, umm, thank you Umm, it's not good Umm, Dad, it's not fast Umm, it's good Umm, yeah, it's good Umm, it's good Umm."
ADDR_025,耗子哥哥我把妈妈找回来了我还会游人嘞你看我还会这样丢,mom,妈妈,妈妈 哥哥 妈,kinship,亲属称谓,"Exhausted brother, I've got my money back and I'm going to swim again. See how I'm going to lose like this."
ADDR_026,你又无法理解跟我们爸跟我们妈妈摆龙门阵或时说我在给我们妈摆龙门阵已经不一样了,mom,妈妈,妈妈 爸 妈,kinship,亲属称谓,"You can't understand how our dad and us are different now, or when I say we're different now."
ADDR_027,属于妈老汉太能干的娃娃公正点说除了读书读得起我们不管哈他,parents,妈老汉,老汉 妈,kinship,亲属称谓,"A doll that belongs to an old man who can do it rightly says that apart from reading books, we can read it no matter what."
ADDR_028,就喊妈老汉出点钱屋子出点钱出去留个学是么这反正时差都倒倒一样样,parents,妈老汉,老汉 妈,kinship,亲属称谓,"The old man shouted, ""Get some money out of the house, get some money out of the house, get some money out of the house and go to school""."
ADDR_029,出去妇女稀班巴王的回来手手都不想洗想抓了个饭菜吃老妈呢最后老汉拿帕子把它俩撞两下嘛硬是稀脏八脏的的,dad,老汉,老汉 妈,kinship,亲属称谓,"The returning hand of the king of Rar Bamba, who had left the women, did not want to wash his hands to grab a meal and eat the old man."
ADDR_030,比如很简单的道理你的父母跟你一路遇到过危险的时候当娃娃突然死脚摘下舍身带的时候也许那一瞬间妈老汉一碰就按过来了就抓你那水,parents,妈老汉,老汉 妈,kinship,亲属称谓,"The simple reasoning is that when your parents were in danger with you on the way, when the doll suddenly pulled off the cradle, perhaps the moment the old man came to you and grabbed your water."
ADDR_031,说嘞些你兄弟伙恁个多一个臭点儿就行了噻现在不好借钱喽,dude,兄弟伙,兄弟伙 兄弟,solidarity,亲近/同伴称呼,"Now that you've got your brothers and sisters smelling a little bit, don't borrow money now."
ADDR_032,正常挺好跟你说旁边那个兄弟伙哈我粉丝我也在打招呼反正那个也吃不完了我哈在乡上我都走了好我我走了我走了今天好点我知道了好拜拜好诶新年快乐哈新年快乐我走了好拜拜好,dude,兄弟伙,兄弟伙 兄弟,solidarity,亲近/同伴称呼,"It's always nice to talk to you about the guy next to you, my fan. I'm also calling to greet him, but that guy can't finish his meal either."
ADDR_033,指名点姓的要见我哈我当时你晓得噻嘞个样子我吓到了噻哥老倌找我会有啥子事喃,bro,哥老倌,哥老倌,solidarity,亲近/同伴称呼,Point out the last name to see me ha ha ha then you know what I was like I was frightened that my older brother would come looking for me.
ADDR_034,我的所有粉丝朋友们感谢你们昨天对我的关心,fans,粉丝朋友,粉丝朋友 朋友们 朋友,solidarity,亲近/同伴称呼,All my fan friends thank you for your concern for me yesterday.
ADDR_035,又一个楼盘降价了都是我收了房子之前春节的时候单价一万二现在单价只要一万两房总价七十口三房八十几口四房一百一十几棵开发商那次我真的是下雪饼之前为什么我不要拍太贵了现在降价了我觉得值得了兄弟伙些我觉得这次我们要开发商弄痛而且还可以生分期以省分期,dude/ bro/guys,兄弟伙些,兄弟伙些 兄弟伙 兄弟,solidarity,亲近/同伴称呼,"Another block of flats has been discounted as I bought the house before springtime at a price of $12,000 now at a price of $10,000 as long as the two rooms total price of seventy three rooms eighty four rooms one hundred and eleven developers that time I really had a snowflake before why don't I shoot too expensive now?"
ADDR_036,希望你金榜题名那个粉丝朋友他说川哥能助力我高考理想的重庆大学吗,fan,粉丝朋友,粉丝朋友 朋友,solidarity,亲近/同伴称呼,Would you like your fan friend named Gold List to say that Kawago can help me with my high school exams at the ideal Chongqing University?
ADDR_037,四姐跟他女婿买衣服了哎碰到我们的朋友粉丝朋友给我优惠了谢谢你支持嗯你还是给我买一件哦好要得好,fans,粉丝朋友,粉丝朋友 朋友,solidarity,亲近/同伴称呼,Four sisters and their daughter bought clothes to meet our friends fans friends gave me a quote thank you for your support or would you buy me one to get well?
ADDR_038,大家好我是老尹粉丝朋友要找一个离你近点儿的客户今天他来了这车是幺六年九月上户二零一六款一点六t自动双离合dct七速变速箱自动大天窗后排在出风口恒温分期空调整齐座椅四万公里路路,fans,粉丝朋友,粉丝朋友 朋友,solidarity,亲近/同伴称呼,"Hello, I'm an old fan friend looking for a customer who's a little closer to you today, he's here today."
ADDR_039,朋友们二娃家的纸箱到了看嘛货车都来了,guys,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,The cartons of my friends' dolls came to see why the truck had arrived.
ADDR_040,建威将军英明传朋友们大家说同仁怎么样,guys,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,The friends of the legendary General Jianwei all said what about his comrades.
ADDR_041,拿钱来购买好朋友们今天耗子哥趁热度的直播,guys,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,Take the money to buy good friends and spend the day enjoying hot live broadcasts.
ADDR_042,一下接上来朋友们都担心老爸子在屋头没有人照顾,guys,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,"Next, friends were worried that his father would be left on the roof with no one to look after him."
ADDR_043,这真正的蜂王浆朋友们让你们见识一下什么叫蜂王浆,guys,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,The friends of this real king of bees have introduced you to what is called the king of bees.
ADDR_044,觉得我绝对是做不到任何人都做不到啊拿你朋友的口吻我跟你说哈你啊兄弟我这辈子都没见过你这种男人啊啊,man,兄弟,兄弟 朋友,solidarity,亲近/同伴称呼,I feel like I absolutely can't do anything anyone else can't do but take a kiss from your friend and I'll tell you brother I've never seen a man like you in a long time.
ADDR_045,从此以后试卷儿就开始封闭找遍整个中国只有我们那儿吃得到九十八四斤的耙耙虾金汤花园有个不会算账的大排档老板外面九十八一斤的耙耙虾在他那儿可以吃四斤还有椒盐香辣两个味道可以选对于喜欢吃粑粑虾的来说真的太满足了超独特的肥肠包大葱也一定要试哈吃起特别香还有来凤鱼鼻山图那些江湖菜味道也很不错凌晨四点大晚上的和兄弟伙些在坝坝头喝着雪花纯生吃着耙耙虾嘞个才叫安逸哦,dudes/guys,兄弟伙些,兄弟伙些 兄弟伙 兄弟,solidarity,亲近/同伴称呼,"From then on, the test rolls began to close to find all over China, only we could eat 984 kg of 金 garden there was an uncounted master class outside, 981 kg of  where he could eat 4 kg of  salt  two flavors to choose from for those who like to eat  really satisfied with the super-unique sausage size  also have to try to eat special  and come to  fish nose  the taste of the Lake Jiang dishes is also very good at four o'clock in the morning and the brothers spend their whole lives drinking snow and eating pure ."
ADDR_046,那个酒店我们最后还有一天的厕所时间现在居然下雪了啊我们现在正在抓紧的复活中那一车是一个大足粉丝朋友早上很早就过来拉的拉了几车了啊然后货不多了没见到他好的朋友们可以点个关注啊视线评论论,fans,粉丝朋友,粉丝朋友 朋友们 朋友,solidarity,亲近/同伴称呼,"The hotel where we last had one more day in the bathroom is now snowing.Ah, we are now clutching at the resurrection.That car is a big-foot fan friend who came early in the morning and pulled a couple of cars.Ah, then there was little luggage."
ADDR_047,你看好冷超冷兄弟们而且里面有那种爆浆,dude/ bro/guys,兄弟,兄弟,solidarity,亲近/同伴称呼,"You look so cold, super-cold brothers, and there's that kind of explosion in you."
ADDR_048,拿给弄一下哎兄弟在哪都你不要兄弟游戏啊,dude/ bro/guys,兄弟,兄弟,solidarity,亲近/同伴称呼,Don't play brother's game anywhere.
ADDR_049,嘿兄弟问你个问题他们都说我长得很帅你觉得,dude/ bro/guys,兄弟,兄弟,solidarity,亲近/同伴称呼,"""Brothers ask you a question, and they all say I'm a grown-up."
ADDR_050,嘿兄弟问你个问题他们都说我长得很帅你觉得,dude/ bro/guys,兄弟,兄弟,solidarity,亲近/同伴称呼,"""Brothers ask you a question, and they all say I'm a grown-up."
ADDR_051,刚刚开张的时候啊你搞点活动哎亲戚朋友,friends,朋友,朋友,solidarity,亲近/同伴称呼,"When it just opened, you had a little activity with relatives and friends."
ADDR_052,来嘛说下儿你的意见嘛我嗯不太想耍朋友,relationship,朋友,朋友,solidarity,亲近/同伴称呼,"Come and tell me what you think, I don't think much of my friends."
ADDR_053,我还是单身我还没有耍朋友你有女朋友不,relationship,朋友,朋友,solidarity,亲近/同伴称呼,I'm still single I don't have any friends you have no girlfriend
ADDR_054,现在小朋友都不喜欢喝白开水嘎我在你在意,kids,小朋友,朋友,solidarity,亲近/同伴称呼,"Nowadays kids don't like drinking tap water, so I'm interested in you."
ADDR_055,你又晓得嘛哎呀是朋友啊你的嘛又晓得妈呀,friends,朋友,朋友,solidarity,亲近/同伴称呼,"And you know who your friend is, and you know who your friend is."
ADDR_056,哎你哥们是不是还说了一句你兰博基尼啦开出来一起我们去耍噻,dude/ bro/guys,哥们,哥们,solidarity,亲近/同伴称呼,"Hey guys, did you guys say another word and let's go out and get some lamborghini together?"
ADDR_057,先说下哈那个车是一个手动挡的带天窗带全景天窗的车车况的话非常的好喜欢开手动挡的大哥们赶紧来手动挡绝对是陪生男人的,dude/ bro/guys,哥们,哥们,solidarity,亲近/同伴称呼,"First of all, let's say that the car is a handheld car with a skylight with a view of the skylights."
ADDR_058,那我也龙也可以那那我们那我们开吧只有打自闭了怎么感觉你们这个房间看起来像连跪的样子呢打不起精神似的人说话是又没吃饭似的来哥哥们儿说大声点声点大声点是吗,dude/ bro/guys,哥们,哥们,solidarity,亲近/同伴称呼,I can also do that we we we we open just turn off how do you feel this room looks like a knee-jerk?
ADDR_059,喊你赶场啊你找女同学耍快吃面先回去了,classmate,同学,同学,solidarity,亲近/同伴称呼,"Shout, hurry up, find a girl you're going to school with."
ADDR_060,说爸爸儿儿做在做啥子哎嗯叔老哈那是那是我同学我们在,classmates,同学,同学,solidarity,亲近/同伴称呼,Saying that parents and children are working in the shadows is what my classmates are doing.
ADDR_061,朋友们大家好我是幺妹儿今天我们吃这个黄辣丁儿侄儿他们去钓回来的,Yaomei'r,幺妹儿,幺妹儿 幺妹 妹儿,affectionate,亲昵称呼,"Friends, I wish I was your sister, today we're eating this little red bean they're coming back from."
ADDR_062,现在女儿没得了啊后来我年纪好非常子女娃儿喜欢留长指甲,girls,女娃儿,女娃儿 娃儿,affectionate,亲昵称呼,"Now my daughter doesn't have one. Later, at my age, very young children like to keep their nails long."
ADDR_063,好了吗不要说了我都三十五六岁的人了以我这种条件能找这样一个漂亮的女娃儿不容易啊尽管王慧苦口婆心的劝儿子,girl,女娃儿,女娃儿 娃儿,affectionate,亲昵称呼,"It's not easy to find such a beautiful girl under such conditions as I am, despite Wang Hui's encouragement to her son."
ADDR_064,重庆话接地气儿又巴适当外省人不一定听得懂重庆有个村儿的崽儿一看到幺妹儿觉得很喜欢她想跟她耍朋友终于有一天鼓起勇气写了一封巴巴适适的情书都寄了出去,young girl,幺妹儿,幺妹儿 幺妹 妹儿,affectionate,亲昵称呼,Chongqing speakers are not necessarily able to understand that the children of Chongqing's village are happy that she wants to finally have the courage to write a love letter to her friends one day.
ADDR_065,做事是做事了我讲男娃儿在女娃儿面前我讲男娃在女娃的面前,young girl,女娃儿,女娃儿 男娃儿 娃儿,affectionate,亲昵称呼,To do is to do I talk to a boy in front of a girl in front of a boy in front of a girl.
ADDR_066,那你是外行你是外行幺妹儿手机呢是的,young girl,幺妹儿,幺妹儿 幺妹 妹儿,affectionate,亲昵称呼,"So you're out of town, you're out of town, you're out of town, you're out of town, you're out of town, you're out of town."
ADDR_067,团团你妈妈今天好高兴哟幺儿我们今天晚上吃啥子妈,kid/ sweetie,幺儿,幺儿,affectionate,亲昵称呼,"Congratulations, you're so happy today we're having dinner tonight."
ADDR_068,幺儿你实在想读书也要得再骗你为了老汉儿去纹个花币嘛,kid/ sweetie,幺儿,幺儿,affectionate,亲昵称呼,"If you really want to read a book, you'll have to cheat again to get a penny for an old man."
ADDR_069,幺儿回吃饭喽你这个房子好巴适你站床上上就会喊幺儿儿吃饭饭,kid/ sweetie,幺儿,幺儿,affectionate,亲昵称呼,"Children come home to eat and you're comfortable in the house, and you're comfortable in bed crying and eating."
ADDR_070,但反过来讲你看你要会教育的刚刚妈妈你们咋把我生出来的哦幺儿是这样子的啊,kid/ sweetie,幺儿,幺儿,affectionate,亲昵称呼,"But on the other hand, you look at the kind of child you've just given birth to me that you're going to educate."
ADDR_071,你长得好帅哟是不是哦嘿我前女友一些都没说过我帅哥幺儿他们懂都不懂你长得恁个像吴彦祖,sweetie,幺儿,幺儿,affectionate,亲昵称呼,Have you ever grown up like my ex-girlfriend? Some of my ex-girlfriends didn't say anything about me.
ADDR_072,那边老师明天喊你当着全班的娃儿都要都要,children/ kids,娃儿,娃儿,affectionate,亲昵称呼,The teacher there shouted at you tomorrow when you were the puppet of the whole class.
ADDR_073,吃嘛快吃弟娃儿吃快吃吃我该吃嘛快吃很甜,boy,弟娃儿,娃儿,affectionate,亲昵称呼,"Eat fast, eat fast, eat fast, eat fast, eat fast, eat fast, eat fast, eat sweet."
ADDR_074,我们衣服没逛到出来那两个娃儿非得套圈圈,children/ kids,娃儿,娃儿,affectionate,亲昵称呼,"We didn't get out of our clothes, those two dolls didn't get a ring."
ADDR_075,老子管你那些娃儿儿儿没没喂啊回去过好裹好,children/ kids,娃儿,娃儿,affectionate,亲昵称呼,The old man in charge of your puppies hadn't come back well wrapped.
ADDR_076,说的嘛娃儿嘞好好吃了嘛完嘞我他家你讲的好,children/ kids,娃儿,娃儿,affectionate,亲昵称呼,"I'm glad you've had a good meal, and I'm glad you've told me about it."
ADDR_077,再说了办法啊比如你们这边几个小伙子阴道想那边女娃子想得的简直已经一塌糊涂了,girls,女娃子,女娃子 娃子 小伙子,affectionate,亲昵称呼,"To put it another way, for example, the vaginas of some of you guys on the other side have just collapsed."
ADDR_078,过年爸爸嫌多屋头十天没开锅坐席千万莫和小娃儿坐一个个饿了饿下的看嘛筷子没来就用手抓筷子一来都过抢抢八辈子没吃过,children/ kids,小娃儿,小娃儿 小娃 娃儿,affectionate,亲昵称呼,"Last year, my dad didn't want to go home for ten days and sit in a chair with a million kids and a starving puppy sitting in a chair and looking at a starving puppy who hadn't come by and grabbed a puppy and hadn't eaten."
ADDR_079,楼上本是雕版画陈列时今年改做郭德展览会有郭德和他的朋友们的像他的画他的书的插图等等富士德的插图最多同一件是个人画起来呀趣为个别楼下是埃及古物的陈列室大大小小的木乃伊都有小娃儿也有,children/ kids,小娃儿,小娃儿 小娃 娃儿,affectionate,亲昵称呼,"Upstairs was a sculpture exhibition when it was renamed Guode exhibition this year featuring Guode and his friends' illustrations of his books like the ones he painted, etc. Most of the same illustrations by Foxted were painted individually."
ADDR_080,我说嘛女娃儿有时候不一定长得非常乖,girls,女娃儿,女娃儿 娃儿,affectionate,亲昵称呼,I'm saying that girls don't necessarily grow up very well sometimes.
ADDR_081,我就说啊你想嘛一个女娃子家家的万多万的为他选,girl,女娃子,女娃子 娃子,affectionate,亲昵称呼,"I said, ""Why do you think the millions of people in a doll's home chose him?"""
ADDR_082,他唱了半天结果经常说那个唱个青藏高原后来女娃子唱了下来要问我,girl,女娃子,女娃子 娃子,affectionate,亲昵称呼,He sang the result half a day and often said that the singer sang the Tibetan Plateau and later the girl sang down to ask me.
ADDR_083,你回来他的八字儿你都喊我二爸呢你爱人是二奶你女娃子受我的胆你就是二奶,girl / ,女娃子,女娃子 娃子,affectionate,亲昵称呼,"You come back to him and you cry for me, you cry for me, you cry for me, you cry for me, you cry for me, you cry for me, you cry for me, you cry for me, you cry for me, you cry for me."
ADDR_084,都在后头拍戏衣服穿起我刚开始啊你们年轻人和十几个女娃子青春就是美青春就是美,girls,女娃子,女娃子 娃子,affectionate,亲昵称呼,"I was just starting out. Oh, you young people and a dozen dolls, youth is beauty, youth is beauty."
ADDR_085,生娃子保管挨到呀呀婆婆爱呀爱你妈的鬼娃娃子得不得爱一辈子嘛嘛,children/ kids,娃娃,娃娃 娃子,affectionate,亲昵称呼,"The baby's custody is handled by the grandmother who loves you, the ghost doll who loves you must not love you all the time."
ADDR_086,景苑儿景园嘞离开中校三校都在屋门口小娃儿读书是非常的方便便,children/ kids,小娃儿,小娃儿 小娃 娃儿,affectionate,亲昵称呼,It is very convenient for all three schools to leave the middle school and read to children at the front door.
ADDR_087,这个是个儿童房哈小娃儿做作业看书这块儿的他都没设计好的都是中央空调色调颜色搭配得非常的温馨,children/ kids,小娃儿,小娃儿 小娃 娃儿,affectionate,亲昵称呼,"This is a children's room where children do their homework and read their books, which he didn't design very well - it's a centrally air-conditioned color scheme combined with very warm colors."
ADDR_088,他都是专业捆成二十八年的十八年你弄上弄了三十年了我信不信嘛几岁就开始弄我们那个时候上来的时候他就在开始弄材料那个豌豆像个小娃儿那你煮煮不到那到时候你煮煮不到到时候我们头中加十个猪脑壳你还慢慢煮嘛慢慢煮嘛,children/ kids,小娃儿,小娃儿 小娃 娃儿,affectionate,亲昵称呼,"He's all professional twenty-eight years, eighteen years you messed up for thirty years, I can't believe it, but when he was a few years old he started messing with us when he came up, he started messing with that stuffed bean like a baby doll that you couldn't cook until then, when you couldn't cook until then, when you added ten pig brains to our heads."
ADDR_089,大家好今天给你们介绍一套小区自带游泳的时候看嘛这里是大人小娃在那里面耍哈游泳哈,children/ kids,小娃,小娃,affectionate,亲昵称呼,Today I'd like to introduce you to a small town with a self-guided swimming pool.
ADDR_090,两口子吃人稀甚欢娃娃在这边站到还要遭你吸了样子,child/ kid,娃娃,娃娃,affectionate,亲昵称呼,Two cannibals rarely enjoy dolls standing there until they look like you're being sucked.
ADDR_091,老板儿不仅生意好名气很大就是老板脾气有点怪从来不会喊客人来点菜菜,boss,老板儿,老板儿 老板 客人,hierarchy,社会身份/等级称谓,"The boss is not only a great businessman and a great reputation, he's also a bit of a freak that never shouts at guests for dinner."
ADDR_092,餐饮老板儿来当评委还给自己餐饮评那么高的分儿所以这是让我非常质疑的一点,boss,老板儿,老板儿 老板,hierarchy,社会身份/等级称谓,"The restaurant owners came to me when the judges gave their own restaurants such a high score, so that made me very doubtful."
ADDR_093,嚯哟走进来老板儿家是他们打烟哦敬酒哦老板板儿看起陆十好几了逮到个两个一个一个锅的喊哦,boss,老板儿,老板儿 老板,hierarchy,社会身份/等级称谓,"When they entered the owner's house, they were smoking and drinking, and the owner's board of directors looked up and caught them screaming one by one, two by two."
ADDR_094,大家好我是云阳明月二车的涛老板儿接到一个粉丝的电话喊我们去收一台非常nice的一台车看我带上那两样东西西,boss,老板儿,老板儿 老板,hierarchy,社会身份/等级称谓,"Hello, I'm Yun Yang next month's second car. The owner of the car got a phone call from a fan calling us to pick up a very nice car and see if I can bring those two things."
ADDR_095,再见我我不签老板儿送孩子这个车你又收了个啥子车今天我捡到一个机头这辆车被行情价少五千块钱牛逼少五千啥车哦哦,boss,老板儿,老板儿 老板,hierarchy,社会身份/等级称谓,"I'm sorry I didn't sign the owner to send the child this car you got a van today I got to a headset this car was priced at $5,000 on the market"
ADDR_096,失败了只买了一个礼单七十一号主要是你们很辛苦主要是厨师师傅哦不是嗯特别辛苦我们看起好舒服哟天呐怕是各人打吗好的认知房哈稳当啊好的好的正脂肪哈,cook/ sir/ -,师傅,师傅 厨师,hierarchy,社会身份/等级称谓,Failed only to buy a gift card number 71 mainly because you are very hard mainly the chef not particularly hard we look comfortable we are afraid everyone is hitting a good cognitive room ha stability ha good good good good good good fat ha ha ha ha
ADDR_097,行者却笑道师傅你侵略做作等我交出起来,master/ sifu,师傅,师傅,hierarchy,社会身份/等级称谓,"But the perpetrators laughed, saying, ""You're acting aggressive until I turn myself in""."
ADDR_098,师傅快傅快撒哈牛肉卷肉卷这个牛肉切的薄,cook/ sir/ -,师傅,师傅,hierarchy,社会身份/等级称谓,"Teacher: Fast, fast Sahara beef roll rolls this thin cut of beef rolls."
ADDR_099,躺一时有妖精拿住师傅你就说老孙是他大徒弟,master/ sifu,师傅,师傅,hierarchy,社会身份/等级称谓,"While lying there, a fairy holds a master and you say Grandson is his eldest disciple."
ADDR_100,哦那你家条件还不错师师傅你们重庆的火锅加菜菜吗,cook/ sir/ -,师傅,师傅,hierarchy,社会身份/等级称谓,"Are the conditions in your home still good, Teacher?"
ADDR_101,那就是鱼皮啊被炸得来稍稍微重起那个火力要透入鱼皮里面俗话说的叫泥头子被老师傅就把它称为扎进皮,cook/ sir/ -,老师傅,老师傅 师傅 老师,hierarchy,社会身份/等级称谓,"That's because the fish skin was blown up and weighed slightly more than the firepower to penetrate the fish skin, a proverbial term for the mudhead, and the teacher called it the mudskin."
ADDR_102,才听老师父之言菩萨尚且救父神龙教他画马托尼我老汉却不能少有周忌明日将那男配取来愿送老师傅叩碑欠缺岂为笑纳,master/ sifu,老师傅,老师傅 师傅 师父 老师,hierarchy,社会身份/等级称谓,"To listen to the teacher's words, the Bodhisattva still teaches him to paint Matoni, but my old man can't help but wonder if tomorrow will be a good day to take that man and send him to the teacher."
ADDR_103,生意下滑百分之五十了好多老板就去找厨师的问题了难道真的是厨师跟服务员的问题吗,boss,老板,老板 厨师 服务员,hierarchy,社会身份/等级称谓,"Business plummeted 50 percent, and many employers turned to the question of the chef."
ADDR_104,哇那个婆娘长得好乖哟哇老板娘你太了解我了你不就是说的我吗看来我离老老板不远了,boss,老板娘,老板娘 老板,hierarchy,社会身份/等级称谓,"The daughter-in-law grew up well, the boss's daughter, you know me too well, you don't just talk about me."
ADDR_105,初期的重庆吃货啊只晓得夏天家呀要吃小龙虾作为重庆的资深吃货我们晓得重庆的夏天我们必须去吃瓜瓜今儿呢带大家去体验一家专门卖瓜瓜的店哈据说老板娘也长得特别漂亮跟我一起打探一手走,boss,老板娘,老板娘 老板,hierarchy,社会身份/等级称谓,As a senior in Chongqing we know that in Chongqing in the summer we have to go out to eat guinea pigs now and take you to experience a shop specializing in guinea pigs.
