ID,四川话原句,称谓,命中称谓,称谓类型,称谓类型中文,模型1输出,模型2输出,模型3输出,称谓翻译结果,错误类型,分析备注,input_file,utt_or_id,filename,source_file,matched_terms_original,text_length
ADDR_021,爸爸好爸爸哎来了要来要来了小米阿姨你好呀好乖哦,爸爸,爸爸 阿姨 爸,kinship,亲属称谓,,,,,,,train_9800,01316545588_fGTkE_20_8260,01316545588_fGTkE_20_8260.wav,wsc_train_audio_text.tsv.gz,阿姨 爸爸 你,23
ADDR_022,不是我爸爸拿回来我爸爸拿回的嗯不是是我阿姨让父亲怎么说,爸爸,爸爸 阿姨 爸,kinship,亲属称谓,,,,,,,train_9800,013165505776_DZVcT_28_6500,013165505776_DZVcT_28_6500.wav,wsc_train_audio_text.tsv.gz,阿姨 爸爸 我,27
ADDR_023,那张丽的爸爸妈妈呢都是成都市的政府干部好来源于政府家庭她从小呢这个家教也非常严好她以前喃呢,爸爸,爸爸 妈妈 爸 妈,kinship,亲属称谓,,,,,,,train_9800,sc0029674_173090_183390,sc0029674_173090_183390.wav,wsc_train_audio_text.tsv.gz,这个 妈妈 爸爸 她,45
ADDR_024,Um妈妈妈妈啊啦啦啦妈妈谢谢OhUm嗯Um嗯好的不是Um爸爸嗯不是快点AUm来好Yeah嗯加油嗯拜拜嗯Um好OhUm,爸爸,爸爸 妈妈 爸 妈,kinship,亲属称谓,,,,,,,train_9800,013165507657_wjZVF_2_121640,013165507657_wjZVF_2_121640.wav,wsc_train_audio_text.tsv.gz,妈妈 爸爸,58
ADDR_025,耗子哥哥我把妈妈找回来了我还会游人嘞你看我还会这样丢,妈妈,妈妈 哥哥 妈,kinship,亲属称谓,,,,,,,train_9800,013165476762_6sj2R_43_9580,013165476762_6sj2R_43_9580.wav,wsc_train_audio_text.tsv.gz,妈妈 哥哥 你 我,26
ADDR_026,你又无法理解跟我们爸跟我们妈妈摆龙门阵或时说我在给我们妈摆龙门阵已经不一样了,妈妈,妈妈 爸 妈,kinship,亲属称谓,,,,,,,train_9800,sc0039878_390760_396800,sc0039878_390760_396800.wav,wsc_train_audio_text.tsv.gz,我们 妈妈 你 我 爸 妈,38
ADDR_027,属于妈老汉太能干的娃娃公正点说除了读书读得起我们不管哈他,老汉,老汉 妈,kinship,亲属称谓,,,,,,,train_9800,013165461522_vVgz8_111_6660,013165461522_vVgz8_111_6660.wav,wsc_train_audio_text.tsv.gz,我们 娃娃 老汉 他 妈,28
ADDR_028,就喊妈老汉出点钱屋子出点钱出去留个学是么这反正时差都倒倒一样样,老汉,老汉 妈,kinship,亲属称谓,,,,,,,train_9800,016000200406_oW8Ml_1_6040,016000200406_oW8Ml_1_6040.wav,wsc_train_audio_text.tsv.gz,老汉 妈,31
ADDR_029,出去妇女稀班巴王的回来手手都不想洗想抓了个饭菜吃老妈呢最后老汉拿帕子把它俩撞两下嘛硬是稀脏八脏的的,老汉,老汉 妈,kinship,亲属称谓,,,,,,,train_9800,sc0031338_232980_244430,sc0031338_232980_244430.wav,wsc_train_audio_text.tsv.gz,老汉 它 妈,49
ADDR_030,比如很简单的道理你的父母跟你一路遇到过危险的时候当娃娃突然死脚摘下舍身带的时候也许那一瞬间妈老汉一碰就按过来了就抓你那水,老汉,老汉 妈,kinship,亲属称谓,,,,,,,train_9800,013165470120_9ZqoR_277_11720,013165470120_9ZqoR_277_11720.wav,wsc_train_audio_text.tsv.gz,父母 娃娃 老汉 你 妈,60
ADDR_031,说嘞些你兄弟伙恁个多一个臭点儿就行了噻现在不好借钱喽,兄弟伙,兄弟伙 兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq00030430_101300_107840,cq00030430_101300_107840.wav,wsc_train_audio_text.tsv.gz,兄弟伙 你,26
ADDR_032,正常挺好跟你说旁边那个兄弟伙哈我粉丝我也在打招呼反正那个也吃不完了我哈在乡上我都走了好我我走了我走了今天好点我知道了好拜拜好诶新年快乐哈新年快乐我走了好拜拜好,兄弟伙,兄弟伙 兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq00014281_148800_162450,cq00014281_148800_162450.wav,wsc_train_audio_text.tsv.gz,兄弟伙 粉丝 那个 你 我,79
ADDR_033,指名点姓的要见我哈我当时你晓得噻嘞个样子我吓到了噻哥老倌找我会有啥子事喃,哥老倌,哥老倌,solidarity,亲近/同伴称呼,,,,,,,train_9800,016000097223_8lZ1K_10_8340,016000097223_8lZ1K_10_8340.wav,wsc_train_audio_text.tsv.gz,哥老倌 你 我,36
ADDR_034,我的所有粉丝朋友们感谢你们昨天对我的关心,粉丝朋友,粉丝朋友 朋友们 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,016000158273_HrBkf_1_5980,016000158273_HrBkf_1_5980.wav,wsc_train_audio_text.tsv.gz,粉丝 你们 朋友 我,20
ADDR_035,又一个楼盘降价了都是我收了房子之前春节的时候单价一万二现在单价只要一万两房总价七十口三房八十几口四房一百一十几棵开发商那次我真的是下雪饼之前为什么我不要拍太贵了现在降价了我觉得值得了兄弟伙些我觉得这次我们要开发商弄痛而且还可以生分期以省分期,兄弟伙些,兄弟伙些 兄弟伙 兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq0102752_4760_30680,cq0102752_4760_30680.wav,wsc_train_audio_text.tsv.gz,兄弟伙些 我们 我,120
ADDR_036,希望你金榜题名那个粉丝朋友他说川哥能助力我高考理想的重庆大学吗,粉丝朋友,粉丝朋友 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165496624_dh5vL_16_8460,013165496624_dh5vL_16_8460.wav,wsc_train_audio_text.tsv.gz,朋友 粉丝 那个 哥 你 我 他,31
ADDR_037,四姐跟他女婿买衣服了哎碰到我们的朋友粉丝朋友给我优惠了谢谢你支持嗯你还是给我买一件哦好要得好,粉丝朋友,粉丝朋友 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165439320_uonrS_7_11820,013165439320_uonrS_7_11820.wav,wsc_train_audio_text.tsv.gz,朋友 粉丝 我们 女婿 姐 你 我 他,46
ADDR_038,大家好我是老尹粉丝朋友要找一个离你近点儿的客户今天他来了这车是幺六年九月上户二零一六款一点六t自动双离合dct七速变速箱自动大天窗后排在出风口恒温分期空调整齐座椅四万公里路路,粉丝朋友,粉丝朋友 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq00017897_340_23250,cq00017897_340_23250.wav,wsc_train_audio_text.tsv.gz,大家 朋友 粉丝 你 我 他,87
ADDR_039,朋友们二娃家的纸箱到了看嘛货车都来了,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,01316544515_b720E_0_6020,01316544515_b720E_0_6020.wav,wsc_train_audio_text.tsv.gz,朋友,18
ADDR_040,建威将军英明传朋友们大家说同仁怎么样,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165529397_1a5t0_89_5900,013165529397_1a5t0_89_5900.wav,wsc_train_audio_text.tsv.gz,大家 朋友,18
ADDR_041,拿钱来购买好朋友们今天耗子哥趁热度的直播,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,016000224413_sJTWr_25_6480,016000224413_sJTWr_25_6480.wav,wsc_train_audio_text.tsv.gz,朋友 哥,20
ADDR_042,一下接上来朋友们都担心老爸子在屋头没有人照顾,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,01316549122_7BxWv_21_5680,01316549122_7BxWv_21_5680.wav,wsc_train_audio_text.tsv.gz,朋友 爸,22
ADDR_043,这真正的蜂王浆朋友们让你们见识一下什么叫蜂王浆,朋友们,朋友们 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,016000234017_G25es_112_5560,016000234017_G25es_112_5560.wav,wsc_train_audio_text.tsv.gz,你们 朋友,23
ADDR_044,觉得我绝对是做不到任何人都做不到啊拿你朋友的口吻我跟你说哈你啊兄弟我这辈子都没见过你这种男人啊啊,兄弟,兄弟 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,01600014232_evfgZ_32_7080,01600014232_evfgZ_32_7080.wav,wsc_train_audio_text.tsv.gz,兄弟 朋友 男人 你 我,48
ADDR_045,从此以后试卷儿就开始封闭找遍整个中国只有我们那儿吃得到九十八四斤的耙耙虾金汤花园有个不会算账的大排档老板外面九十八一斤的耙耙虾在他那儿可以吃四斤还有椒盐香辣两个味道可以选对于喜欢吃粑粑虾的来说真的太满足了超独特的肥肠包大葱也一定要试哈吃起特别香还有来凤鱼鼻山图那些江湖菜味道也很不错凌晨四点大晚上的和兄弟伙些在坝坝头喝着雪花纯生吃着耙耙虾嘞个才叫安逸哦,兄弟伙些,兄弟伙些 兄弟伙 兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq0039680_129210_133890,cq0039680_129210_133890.wav,wsc_train_audio_text.tsv.gz,兄弟伙些 老板 我们 他,176
ADDR_046,那个酒店我们最后还有一天的厕所时间现在居然下雪了啊我们现在正在抓紧的复活中那一车是一个大足粉丝朋友早上很早就过来拉的拉了几车了啊然后货不多了没见到他好的朋友们可以点个关注啊视线评论论,粉丝朋友,粉丝朋友 朋友们 朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq0085372_0_16840,cq0085372_0_16840.wav,wsc_train_audio_text.tsv.gz,朋友 粉丝 那个 我们 他,91
ADDR_047,你看好冷超冷兄弟们而且里面有那种爆浆,兄弟,兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq00018820_102950_106820,cq00018820_102950_106820.wav,wsc_train_audio_text.tsv.gz,兄弟 你,18
ADDR_048,拿给弄一下哎兄弟在哪都你不要兄弟游戏啊,兄弟,兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165464561_uBKOb_35_6060,013165464561_uBKOb_35_6060.wav,wsc_train_audio_text.tsv.gz,兄弟 你,19
ADDR_049,嘿兄弟问你个问题他们都说我长得很帅你觉得,兄弟,兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,sc1003062_8250_12170,sc1003062_8250_12170.wav,wsc_train_audio_text.tsv.gz,兄弟 他们 你 我,20
ADDR_050,嘿兄弟问你个问题他们都说我长得很帅你觉得,兄弟,兄弟,solidarity,亲近/同伴称呼,,,,,,,train_9800,sc1003167_8130_12060,sc1003167_8130_12060.wav,wsc_train_audio_text.tsv.gz,兄弟 他们 你 我,20
ADDR_051,刚刚开张的时候啊你搞点活动哎亲戚朋友,朋友,朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,016000174758_Qr3Na_8_6380,016000174758_Qr3Na_8_6380.wav,wsc_train_audio_text.tsv.gz,亲戚 朋友 你,18
ADDR_052,来嘛说下儿你的意见嘛我嗯不太想耍朋友,朋友,朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,01600014963_Lu8pr_10_5700,01600014963_Lu8pr_10_5700.wav,wsc_train_audio_text.tsv.gz,朋友 你 我,18
ADDR_053,我还是单身我还没有耍朋友你有女朋友不,朋友,朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165456843_Qkuzq_127_6680,013165456843_Qkuzq_127_6680.wav,wsc_train_audio_text.tsv.gz,女朋友 朋友 你 我,18
ADDR_054,现在小朋友都不喜欢喝白开水嘎我在你在意,朋友,朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165453857_9yuov_43_5980,013165453857_9yuov_43_5980.wav,wsc_train_audio_text.tsv.gz,朋友 你 我,19
ADDR_055,你又晓得嘛哎呀是朋友啊你的嘛又晓得妈呀,朋友,朋友,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165459446_27LYk_39_6320,013165459446_27LYk_39_6320.wav,wsc_train_audio_text.tsv.gz,朋友 妈 你,19
ADDR_056,哎你哥们是不是还说了一句你兰博基尼啦开出来一起我们去耍噻,哥们,哥们,solidarity,亲近/同伴称呼,,,,,,,train_9800,sc0030588_815420_821370,sc0030588_815420_821370.wav,wsc_train_audio_text.tsv.gz,我们 你 哥,28
ADDR_057,先说下哈那个车是一个手动挡的带天窗带全景天窗的车车况的话非常的好喜欢开手动挡的大哥们赶紧来手动挡绝对是陪生男人的,哥们,哥们,solidarity,亲近/同伴称呼,,,,,,,train_9800,cq0067863_29000_43480,cq0067863_29000_43480.wav,wsc_train_audio_text.tsv.gz,那个 男人 大哥,56
ADDR_058,那我也龙也可以那那我们那我们开吧只有打自闭了怎么感觉你们这个房间看起来像连跪的样子呢打不起精神似的人说话是又没吃饭似的来哥哥们儿说大声点声点大声点是吗,哥们,哥们,solidarity,亲近/同伴称呼,,,,,,,train_9800,sc0030700_84360_99120,sc0030700_84360_99120.wav,wsc_train_audio_text.tsv.gz,这个 哥哥 我们 你们 我,75
ADDR_059,喊你赶场啊你找女同学耍快吃面先回去了,同学,同学,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165514980_CLYtl_21_6240,013165514980_CLYtl_21_6240.wav,wsc_train_audio_text.tsv.gz,同学 你,18
ADDR_060,说爸爸儿儿做在做啥子哎嗯叔老哈那是那是我同学我们在,同学,同学,solidarity,亲近/同伴称呼,,,,,,,train_9800,013165438000_crGRp_39_7280,013165438000_crGRp_39_7280.wav,wsc_train_audio_text.tsv.gz,我们 爸爸 同学 叔 我,25
ADDR_061,朋友们大家好我是幺妹儿今天我们吃这个黄辣丁儿侄儿他们去钓回来的,幺妹儿,幺妹儿 幺妹 妹儿,affectionate,亲昵称呼,,,,,,,train_9800,01316549074_0SW4N_0_8480,01316549074_0SW4N_0_8480.wav,wsc_train_audio_text.tsv.gz,幺妹儿 大家 他们 朋友 这个 我们 侄儿 我,31
ADDR_062,现在女儿没得了啊后来我年纪好非常子女娃儿喜欢留长指甲,女娃儿,女娃儿 娃儿,affectionate,亲昵称呼,,,,,,,train_9800,013165515144_tWBjQ_157_7060,013165515144_tWBjQ_157_7060.wav,wsc_train_audio_text.tsv.gz,女娃儿 女儿 我,26
ADDR_063,好了吗不要说了我都三十五六岁的人了以我这种条件能找这样一个漂亮的女娃儿不容易啊尽管王慧苦口婆心的劝儿子,女娃儿,女娃儿 娃儿,affectionate,亲昵称呼,,,,,,,train_9800,cq00030164_130330_141490,cq00030164_130330_141490.wav,wsc_train_audio_text.tsv.gz,女娃儿 儿子 我,51
ADDR_064,重庆话接地气儿又巴适当外省人不一定听得懂重庆有个村儿的崽儿一看到幺妹儿觉得很喜欢她想跟她耍朋友终于有一天鼓起勇气写了一封巴巴适适的情书都寄了出去,幺妹儿,幺妹儿 幺妹 妹儿,affectionate,亲昵称呼,,,,,,,train_9800,01600026922_3AR41_0_12260,01600026922_3AR41_0_12260.wav,wsc_train_audio_text.tsv.gz,幺妹儿 朋友 她,72
ADDR_065,做事是做事了我讲男娃儿在女娃儿面前我讲男娃在女娃的面前,女娃儿,女娃儿 男娃儿 娃儿,affectionate,亲昵称呼,,,,,,,train_9800,cq00005741_178570_185490,cq00005741_178570_185490.wav,wsc_train_audio_text.tsv.gz,女娃儿 男娃儿 男娃 女娃 我,27
ADDR_066,那你是外行你是外行幺妹儿手机呢是的,幺妹儿,幺妹儿 幺妹 妹儿,affectionate,亲昵称呼,,,,,,,train_9800,013165447320_tDJO1_51_5680,013165447320_tDJO1_51_5680.wav,wsc_train_audio_text.tsv.gz,幺妹儿 你,17
ADDR_067,团团你妈妈今天好高兴哟幺儿我们今天晚上吃啥子妈,幺儿,幺儿,affectionate,亲昵称呼,,,,,,,train_9800,013165439331_Hpr86_11_7300,013165439331_Hpr86_11_7300.wav,wsc_train_audio_text.tsv.gz,幺儿 我们 妈妈 你 妈,23
ADDR_068,幺儿你实在想读书也要得再骗你为了老汉儿去纹个花币嘛,幺儿,幺儿,affectionate,亲昵称呼,,,,,,,train_9800,013165443329_p9su8_15_8600,013165443329_p9su8_15_8600.wav,wsc_train_audio_text.tsv.gz,老汉儿 幺儿 你,25
ADDR_069,幺儿回吃饭喽你这个房子好巴适你站床上上就会喊幺儿儿吃饭饭,幺儿,幺儿,affectionate,亲昵称呼,,,,,,,train_9800,016000259066_tjRFA_0_6880,016000259066_tjRFA_0_6880.wav,wsc_train_audio_text.tsv.gz,这个 幺儿 你,28
ADDR_070,但反过来讲你看你要会教育的刚刚妈妈你们咋把我生出来的哦幺儿是这样子的啊,幺儿,幺儿,affectionate,亲昵称呼,,,,,,,train_9800,013165447334_Hq47T_152_9580,013165447334_Hq47T_152_9580.wav,wsc_train_audio_text.tsv.gz,幺儿 你们 妈妈 你 我,35
ADDR_071,你长得好帅哟是不是哦嘿我前女友一些都没说过我帅哥幺儿他们懂都不懂你长得恁个像吴彦祖,幺儿,幺儿,affectionate,亲昵称呼,,,,,,,train_9800,013165467571_dM3DF_12_11120,013165467571_dM3DF_12_11120.wav,wsc_train_audio_text.tsv.gz,他们 帅哥 幺儿 你 我,41
ADDR_072,那边老师明天喊你当着全班的娃儿都要都要,娃儿,娃儿,affectionate,亲昵称呼,,,,,,,train_9800,70421923224_9RYks_74_3840,70421923224_9RYks_74_3840.wav,wsc_train_audio_text.tsv.gz,娃儿 老师 你,19
ADDR_073,吃嘛快吃弟娃儿吃快吃吃我该吃嘛快吃很甜,娃儿,娃儿,affectionate,亲昵称呼,,,,,,,train_9800,013165500787_y9LTj_52_6740,013165500787_y9LTj_52_6740.wav,wsc_train_audio_text.tsv.gz,弟娃儿 我,19
ADDR_074,我们衣服没逛到出来那两个娃儿非得套圈圈,娃儿,娃儿,affectionate,亲昵称呼,,,,,,,train_9800,013165507014_0HUkG_11_6760,013165507014_0HUkG_11_6760.wav,wsc_train_audio_text.tsv.gz,娃儿 我们,19
ADDR_075,老子管你那些娃儿儿儿没没喂啊回去过好裹好,娃儿,娃儿,affectionate,亲昵称呼,,,,,,,train_9800,01600012860_ZieoC_2_5540,01600012860_ZieoC_2_5540.wav,wsc_train_audio_text.tsv.gz,老子 娃儿 你,20
ADDR_076,说的嘛娃儿嘞好好吃了嘛完嘞我他家你讲的好,娃儿,娃儿,affectionate,亲昵称呼,,,,,,,train_9800,013165457444_snKwA_4_6120,013165457444_snKwA_4_6120.wav,wsc_train_audio_text.tsv.gz,娃儿 你 我 他,20
ADDR_077,再说了办法啊比如你们这边几个小伙子阴道想那边女娃子想得的简直已经一塌糊涂了,女娃子,女娃子 娃子 小伙子,affectionate,亲昵称呼,,,,,,,train_9800,01316546412_1VFBk_66_7120,01316546412_1VFBk_66_7120.wav,wsc_train_audio_text.tsv.gz,小伙子 女娃子 你们,37
ADDR_078,过年爸爸嫌多屋头十天没开锅坐席千万莫和小娃儿坐一个个饿了饿下的看嘛筷子没来就用手抓筷子一来都过抢抢八辈子没吃过,小娃儿,小娃儿 小娃 娃儿,affectionate,亲昵称呼,,,,,,,train_9800,016000150301_NSKOj_0_10740,016000150301_NSKOj_0_10740.wav,wsc_train_audio_text.tsv.gz,小娃儿 爸爸,55
ADDR_079,楼上本是雕版画陈列时今年改做郭德展览会有郭德和他的朋友们的像他的画他的书的插图等等富士德的插图最多同一件是个人画起来呀趣为个别楼下是埃及古物的陈列室大大小小的木乃伊都有小娃儿也有,小娃儿,小娃儿 小娃 娃儿,affectionate,亲昵称呼,,,,,,,train_9800,sc0008152_624590_648740,sc0008152_624590_648740.wav,wsc_train_audio_text.tsv.gz,小娃儿 朋友 小的 个人 他,89
ADDR_080,我说嘛女娃儿有时候不一定长得非常乖,女娃儿,女娃儿 娃儿,affectionate,亲昵称呼,,,,,,,train_9800,cq00030582_120880_123670,cq00030582_120880_123670.wav,wsc_train_audio_text.tsv.gz,女娃儿 我,17
ADDR_081,我就说啊你想嘛一个女娃子家家的万多万的为他选,女娃子,女娃子 娃子,affectionate,亲昵称呼,,,,,,,train_9800,01316549054_AUyRl_33_6140,01316549054_AUyRl_33_6140.wav,wsc_train_audio_text.tsv.gz,女娃子 家家 你 我 他,22
ADDR_082,他唱了半天结果经常说那个唱个青藏高原后来女娃子唱了下来要问我,女娃子,女娃子 娃子,affectionate,亲昵称呼,,,,,,,train_9800,013165473108_SbhZj_154_7000,013165473108_SbhZj_154_7000.wav,wsc_train_audio_text.tsv.gz,女娃子 那个 我 他,30
ADDR_083,你回来他的八字儿你都喊我二爸呢你爱人是二奶你女娃子受我的胆你就是二奶,女娃子,女娃子 娃子,affectionate,亲昵称呼,,,,,,,train_9800,01316547864_9r21j_132_8020,01316547864_9r21j_132_8020.wav,wsc_train_audio_text.tsv.gz,女娃子 爱人 二爸 你 我 他,34
ADDR_084,都在后头拍戏衣服穿起我刚开始啊你们年轻人和十几个女娃子青春就是美青春就是美,女娃子,女娃子 娃子,affectionate,亲昵称呼,,,,,,,train_9800,013165497300_5mVO7_124_10100,013165497300_5mVO7_124_10100.wav,wsc_train_audio_text.tsv.gz,女娃子 你们 我,37
ADDR_085,生娃子保管挨到呀呀婆婆爱呀爱你妈的鬼娃娃子得不得爱一辈子嘛嘛,娃娃,娃娃 娃子,affectionate,亲昵称呼,,,,,,,train_9800,013165492421_S7dCW_91_7320,013165492421_S7dCW_91_7320.wav,wsc_train_audio_text.tsv.gz,娃子 婆婆 娃娃 你 妈,30
